gid,crop_id
128,12
159,41
82,3
110,36
29,41
25,3
40,5
147,26
145,42
150,33
26,3
209,4
32,11
214,45
91,19
110,44
32,39
41,41
88,10
184,11
113,39
24,11
84,41
202,12
172,11
36,21
177,42
35,26
216,18
119,45
84,29
189,19
185,35
115,47
153,5
72,42
161,25
117,35
154,26
210,25
218,3
196,3
207,29
208,47
161,26
207,41
154,25
106,4
164,12
146,42
144,33
40,40
27,3
128,39
123,40
174,47
114,35
68,39
214,4
85,12
187,35
152,19
68,11
197,35
116,41
209,45
112,27
202,31
188,10
205,35
200,47
34,42
216,31
220,25
79,41
169,26
158,12
119,4
81,29
172,12
93,3
219,41
81,41
24,12
216,11
189,38
92,47
83,40
192,41
106,45
155,35
193,42
90,41
83,46
30,44
42,41
173,47
77,12
208,17
186,45
191,3
153,12
122,41
127,6
70,25
199,26
66,9
83,12
127,41
39,3
204,41
94,41
156,35
28,41
150,47
198,45
219,44
95,41
40,12
214,42
30,29
105,26
126,35
194,35
162,29
123,12
30,41
162,41
153,39
123,31
108,19
215,19
186,4
203,35
222,33
65,19
66,3
193,45
223,47
184,5
175,41
89,3
92,33
69,35
110,41
71,4
211,39
37,19
211,11
175,6
217,47
33,3
104,4
107,19
200,33
148,10
32,5
211,31
195,41
36,33
123,39
174,33
123,11
221,19
40,39
80,41
40,11
207,44
97,41
66,1
34,3
110,28
31,45
42,43
192,43
220,47
97,29
189,11
70,10
114,41
174,26
35,21
187,41
158,19
116,35
197,41
205,41
27,42
172,19
187,6
113,19
146,3
114,29
187,29
85,19
152,12
193,3
80,30
219,35
192,35
201,47
164,19
126,44
147,21
176,47
126,23
149,42
155,41
78,19
222,25
87,47
189,12
64,3
159,35
123,20
95,8
26,42
145,3
171,25
105,33
202,19
147,47
25,42
37,40
171,26
104,3
41,35
163,3
127,8
210,47
170,19
86,10
84,35
83,20
161,47
71,3
154,47
218,42
196,42
89,4
68,19
91,12
152,11
199,33
128,19
38,19
185,41
186,3
35,47
117,41
207,35
185,29
191,45
39,11
83,9
210,29
161,29
160,12
154,41
157,41
39,39
161,41
221,42
33,12
111,44
157,6
210,41
84,26
171,43
35,6
84,25
208,35
150,28
35,41
30,24
185,47
115,35
106,19
126,33
194,33
37,42
178,39
69,10
171,35
65,42
215,42
190,35
156,33
159,26
29,26
147,41
188,28
150,8
211,3
222,35
33,39
83,3
39,12
42,26
89,39
219,25
193,27
169,41
87,41
201,29
176,41
153,3
219,26
201,41
73,3
40,3
174,35
220,41
189,45
220,29
97,47
112,42
151,19
70,36
212,8
114,47
116,33
104,18
212,6
206,35
111,35
212,41
38,42
64,12
144,41
218,19
196,19
40,45
83,1
34,39
144,6
34,11
123,45
144,29
170,42
88,41
82,19
186,12
69,25
25,19
177,12
42,33
202,42
203,25
217,41
26,19
71,12
211,45
110,47
223,41
72,12
83,45
91,3
92,44
104,39
78,42
150,41
194,26
41,33
28,47
93,19
149,19
204,47
150,6
29,33
159,33
162,47
145,39
123,4
40,4
85,42
95,47
79,10
195,21
173,29
27,19
199,35
188,41
186,39
188,29
186,11
173,41
152,3
163,31
83,4
72,39
193,12
36,36
71,39
211,4
92,41
209,31
202,45
151,12
24,4
219,47
113,4
81,47
153,42
216,45
222,41
119,12
222,29
95,10
110,33
79,47
169,35
90,47
218,20
176,35
106,39
94,10
178,19
201,35
114,26
187,26
174,41
128,45
36,41
220,35
114,25
36,6
112,3
174,29
209,11
200,41
163,5
32,4
85,4
200,29
119,39
71,40
149,20
80,10
107,3
157,35
161,35
34,13
24,45
84,47
113,45
144,36
151,11
210,35
216,4
195,10
31,19
106,12
148,6
115,29
221,3
208,29
208,41
148,41
115,41
108,14
162,17
164,45
108,3
171,41
29,47
215,3
28,33
65,3
214,11
190,41
66,19
204,33
89,19
217,44
160,19
163,40
147,35
209,12
33,19
190,29
37,3
85,3
105,41
32,3
150,35
193,19
30,26
26,39
213,39
162,26
164,3
27,12
28,26
126,47
31,5
215,45
201,44
108,45
25,39
220,44
34,19
221,45
117,33
127,25
188,35
199,41
218,39
187,10
173,35
70,41
152,42
107,45
122,25
146,19
149,12
66,5
67,47
150,43
97,10
122,26
24,3
80,25
111,6
206,6
35,36
26,12
206,29
42,32
111,29
71,19
68,3
111,41
206,41
210,44
212,35
80,26
72,19
82,12
186,19
128,3
38,3
215,4
25,12
97,33
177,19
27,11
112,45
86,41
195,26
64,19
196,12
221,4
145,19
216,3
69,47
215,16
202,3
33,40
107,4
163,19
223,35
147,12
70,13
222,38
148,19
68,26
68,25
35,12
169,11
202,25
40,24
106,35
33,41
33,6
154,12
213,44
190,19
214,35
127,14
194,42
37,33
205,4
147,11
178,41
220,12
95,3
185,45
113,25
157,39
127,3
161,11
210,39
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
370,0
371,0
373,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
437,0
438,0
439,0
448,0
449,0
450,0
451,0
452,0
453,0
