gid,monitoring_started,monitoring_ended,longitude,latitude,district,name,ms_id,svp (manual),svp (auto),validity,area
489,2021-02-22,2021-10-25,11.907308,44.30029,RA,RA42,9.0,2.0,0.85046966235085,valid,FC-RA-RN
178,2020-04-19,2020-10-19,10.8707873,44.8826064,RE,MO35,6.0,16.0,2.44804700250245,valid,MO-RE
67,2020-04-19,2020-10-19,11.5270873,44.8804115,FE,FE04,6.0,2.0,0.0272005222500272,valid,BO-FE
457,2021-02-22,2021-10-25,11.8761764597221,44.4348693552242,RA,RA10,9.0,5.0,4.95049504950495,valid,FC-RA-RN
471,2021-02-22,2021-10-25,11.8377626,44.2971944,RA,RA24,9.0,20.0,15.981213505966,valid,FC-RA-RN
255,2021-02-22,2021-10-25,11.764253,44.383894,BO,BO08,9.0,3.0,0.418888042650419,valid,FC-RA-RN
464,2021-02-22,2021-10-25,11.9844142,44.3759389,RA,RA17,9.0,40.0,6.15638486925616,valid,FC-RA-RN
357,2021-02-22,2021-10-25,12.0263391,44.404618,RA,FC10,9.0,40.0,18.0756537192181,valid,FC-RA-RN
352,2021-02-22,2021-10-25,12.2946508,44.1148957,FC,FC05,9.0,20.0,6.74028941355674,valid,FC-RA-RN
465,2021-02-22,2021-10-25,12.0164253,44.3953074,RA,RA18,9.0,30.0,13.8233054074638,valid,FC-RA-RN
325,2021-02-22,2021-10-25,11.6286317,44.7301027,FE,FE28,9.0,10.0,8.49200304645849,invalid,BO-FE
66,2020-04-19,2020-10-19,11.4915326,44.8799734,FE,FE03,6.0,1.0,0.364486998150365,valid,BO-FE
479,2021-02-22,2021-10-25,11.852219,44.324231,RA,RA32,9.0,5.0,0.495049504950495,valid,FC-RA-RN
477,2021-02-22,2021-10-25,11.8040878,44.3477732,RA,RA30,9.0,4.0,0.368113734450368,valid,FC-RA-RN
160,2020-04-19,2020-10-19,10.8597191,44.6773164,MO,MO17,6.0,40.0,23.0769230769231,valid,MO-RE
89,2020-04-19,2020-10-19,11.649626,44.7844171,FE,FE26,6.0,10.0,2.6982918072027,valid,BO-FE
33,2020-04-19,2020-10-19,11.4477414,44.756019,BO,BO10,6.0,,3.22598193885323,valid,BO-FE
31,2020-04-19,2020-10-19,11.7643723,44.3837495,BO,BO08,6.0,3.0,0.244804700250245,valid,FC-RA-RN
406,2021-02-22,2021-10-25,11.1095953,44.8719211,MO,MO09,9.0,15.0,4.2015740035542,valid,MO-RE
460,2021-02-22,2021-10-25,11.7774886,44.5039369,RA,RA13,9.0,5.0,1.20588981975121,valid,FC-RA-RN
69,2020-04-19,2020-10-19,11.6546345,44.8588477,FE,FE06,6.0,10.0,9.24273746055924,valid,BO-FE
334,2021-02-22,2021-10-25,11.341047,44.792511,FE,FE37,9.0,2.0,0.13962934755014,noisy,BO-FE
203,2020-04-19,2020-10-19,11.8455944,44.374285,RA,RA20,6.0,5.0,2.42628658470243,valid,FC-RA-RN
34,2020-04-19,2020-10-19,11.6041706,44.6299269,BO,BO11,6.0,10.0,1.86051572190186,valid,BO-FE
81,2020-04-19,2020-10-19,11.5998239,44.7847172,FE,FE18,6.0,3.0,12.7679251441628,valid,BO-FE
219,2020-04-19,2020-10-19,11.9900622,44.390587,RA,RA36,6.0,8.0,1.03361984550103,valid,FC-RA-RN
428,2021-02-22,2021-10-25,10.7416867674336,44.7584940315272,RE,MO31,9.0,8.0,7.69230769230769,valid,MO-RE
79,2020-04-19,2020-10-19,11.9341221,44.9637226,FE,FE16,6.0,0.0,0.375367207050375,valid,BO-FE
