gid,water_basin_id
258,6
108,6
487,4
352,6
310,9
471,6
325,6
398,10
223,8
482,10
259,6
403,10
41,10
145,6
144,10
207,6
429,8
128,6
354,10
326,10
151,10
253,10
304,10
304,6
399,6
92,10
110,10
70,10
70,6
175,8
149,10
265,10
439,10
91,6
373,6
218,10
309,10
405,10
25,0
26,0
28,0
29,0
30,0
31,0
32,0
34,0
36,0
38,0
39,0
40,0
64,0
65,0
66,0
67,0
68,0
69,0
71,0
72,0
73,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
93,0
94,0
95,0
97,0
104,0
106,0
107,0
111,0
112,0
113,0
114,0
115,0
117,0
119,0
122,0
126,0
146,0
147,0
148,0
150,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
169,0
171,0
172,0
174,0
176,0
178,0
185,0
194,0
196,0
197,0
198,0
199,0
200,0
201,0
203,0
204,0
205,0
206,0
208,0
211,0
214,0
215,0
219,0
220,0
222,0
248,0
249,0
250,0
251,0
252,0
254,0
255,0
256,0
257,0
260,0
261,0
262,0
263,0
264,0
266,0
267,0
268,0
298,0
299,0
300,0
301,0
302,0
303,0
305,0
306,0
307,0
308,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
348,0
349,0
350,0
351,0
353,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
370,0
371,0
400,0
401,0
402,0
404,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
418,0
423,0
424,0
425,0
426,0
427,0
428,0
430,0
431,0
432,0
433,0
434,0
437,0
438,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
472,0
473,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
483,0
484,0
485,0
486,0
488,0
489,0
490,0
491,0
492,0
493,0
650,0
651,0
652,0
177,0
42,0
217,0
24,0
27,0
202,0
33,0
35,0
37,0
187,0
216,0
195,0
191,0
190,0
189,0
192,0
210,0
186,0
170,0
116,0
105,0
193,0
184,0
212,0
209,0
173,0
188,0
213,0
127,0
123,0
221,0
417,0
702,6
812,10
756,10
780,6
695,6
868,10
806,6
708,6
805,10
836,8
810,10
866,6
696,6
846,10
708,10
655,0
658,0
661,0
668,0
672,0
679,0
683,0
684,0
685,0
686,0
689,0
690,0
691,0
692,0
693,0
694,0
700,0
701,0
704,0
705,0
706,0
707,0
709,0
712,0
713,0
715,0
741,0
754,0
755,0
757,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
784,0
785,0
786,0
787,0
807,0
808,0
809,0
811,0
813,0
814,0
815,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
830,0
831,0
832,0
833,0
834,0
835,0
837,0
838,0
839,0
840,0
841,0
844,0
845,0
862,0
864,0
865,0
880,0
884,0
885,0
887,0
888,0
903,0
904,0
905,0
863,0
