answer_id,togo_id,text
BMSB.INST.Q12.A4,313,
BMSB.INST.Q12.A7,313,
BMSB.INST.Q13.A1,313,
BMSB.INST.Q14.A1,313,
BMSB.INST.Q14.A3,313,
BMSB.INST.Q1.A1,128,
BMSB.INST.Q2.A4,128,
BMSB.INST.Q3.A1,128,
BMSB.INST.Q4.A1,128,
BMSB.INST.Q4.A2,128,
BMSB.INST.Q4.A3,128,
BMSB.INST.Q4.A4,128,
BMSB.INST.Q5.A1,128,
BMSB.INST.Q6.A1,128,
BMSB.INST.Q7.A1,128,
BMSB.INST.Q8.A1,128,
BMSB.INST.Q9.A1,128,
BMSB.INST.Q10.A7,128,
BMSB.INST.Q11.A1,128,
BMSB.INST.Q12.A7,128,
BMSB.INST.Q12.A8,128,
BMSB.INST.Q12.A4,128,
BMSB.INST.Q12.A3,128,
BMSB.INST.Q13.A1,128,
BMSB.INST.Q14.A3,128,
BMSB.INST.Q1.A2,318,
BMSB.INST.Q3.A1,318,
BMSB.INST.Q4.A4,318,
BMSB.INST.Q4.A3,318,
BMSB.INST.Q4.A2,318,
BMSB.INST.Q5.A1,318,
BMSB.INST.Q6.A4,318,
BMSB.INST.Q7.A1,318,
BMSB.INST.Q8.A1,318,
BMSB.INST.Q9.A1,318,
BMSB.INST.Q10.A8,318,
BMSB.INST.Q11.A1,318,
BMSB.INST.Q12.A4,318,
BMSB.INST.Q12.A2,318,
BMSB.INST.Q12.A8,318,
BMSB.INST.Q12.A7,318,
BMSB.INST.Q13.A1,318,
BMSB.INST.Q14.A3,318,
BMSB.INST.Q1.A1,320,
BMSB.INST.Q2.A7,320,
BMSB.INST.Q2.A9,320,
BMSB.INST.Q2.A8,123,
BMSB.INST.Q2.A2,123,
BMSB.INST.Q3.A1,123,
BMSB.INST.Q4.A2,123,
BMSB.INST.Q4.A3,123,
BMSB.INST.Q4.A1,123,
BMSB.INST.Q4.A6,123,
BMSB.INST.Q4.A4,123,
BMSB.INST.Q5.A1,123,
BMSB.INST.Q6.A2,123,
BMSB.INST.Q7.A1,123,
BMSB.INST.Q8.A4,123,
BMSB.INST.Q9.A1,123,
BMSB.INST.Q10.A8,123,
BMSB.INST.Q10.A4,123,
BMSB.INST.Q11.A1,123,
BMSB.INST.Q12.A2,123,
BMSB.INST.Q12.A1,123,
BMSB.INST.Q12.A4,123,
BMSB.INST.Q13.A1,123,
BMSB.INST.Q14.A4,123,
BMSB.INST.Q14.A3,123,
BMSB.INST.Q14.A2,123,
BMSB.INST.Q1.A1,125,
BMSB.INST.Q2.A7,125,
BMSB.INST.Q3.A1,125,
BMSB.INST.Q4.A2,125,
BMSB.INST.Q4.A4,125,
BMSB.INST.Q5.A1,125,
BMSB.INST.Q6.A3,125,
BMSB.INST.Q7.A1,125,
BMSB.INST.Q8.A2,125,
BMSB.INST.Q9.A1,125,
BMSB.INST.Q10.A4,125,
BMSB.INST.Q11.A1,125,
BMSB.INST.Q12.A2,125,
BMSB.INST.Q12.A1,125,
BMSB.INST.Q12.A7,125,
BMSB.INST.Q13.A1,125,
BMSB.INST.Q14.A3,125,
BMSB.INST.Q1.A1,124,
BMSB.INST.Q2.A9,124,
BMSB.INST.Q3.A1,124,
BMSB.INST.Q4.A2,124,
BMSB.INST.Q4.A4,124,
BMSB.INST.Q4.A6,124,
BMSB.INST.Q5.A1,124,
BMSB.INST.Q6.A4,124,
BMSB.INST.Q7.A1,124,
BMSB.INST.Q8.A2,124,
BMSB.INST.Q9.A1,124,
BMSB.INST.Q10.A8,124,
BMSB.INST.Q10.A4,124,
BMSB.INST.Q11.A1,124,
BMSB.INST.Q12.A1,124,
BMSB.INST.Q12.A2,124,
BMSB.INST.Q12.A3,124,
BMSB.INST.Q12.A4,124,
BMSB.INST.Q12.A7,124,
