togo_id,timestamp_assignment,timestamp_end,timestamp_completed,task_id,gid
9620,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,426
9607,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,398
9604,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,400
9606,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,433
9626,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-13 00:00:00.000,6,431
9660,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,451
9646,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,460
9630,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,439
9618,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-12 00:00:00.000,6,418
9615,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,415
9616,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,416
9643,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,467
9631,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,457
9639,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,469
9662,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,480
9641,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,450
9600,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-14 00:00:00.000,6,449
9608,2021-07-12 00:00:00.000,2021-07-18 23:59:59.000,2021-07-15 00:00:00.000,6,404
