gid,geometry,name,district,ms_id,monitoring_started,monitoring_ended
905,"""SRID=4326;POINT(9.505617 45.017796)""",PC03,PC,12,2022-03-21,2022-10-24
815,"""SRID=4326;POINT(10.997329 44.869332)""",MO11,MO,12,2022-03-21,2022-10-24
691,"""SRID=4326;POINT(11.994728 44.388905)""",RA37,RA,12,2022-03-21,2022-10-24
701,"""SRID=4326;POINT(11.948326 44.386017)""",RA47,RA,12,2022-03-21,2022-10-24
755,"""SRID=4326;POINT(11.63323056 44.77216944)""",FE40,FE,12,2022-03-21,2022-10-24
845,"""SRID=4326;POINT(10.2112197 44.836502)""",MO41,PR,12,2022-03-21,2022-10-24
812,"""SRID=4326;POINT(11.158119 44.860548)""",MO08,MO,12,2022-03-21,2022-10-24
817,"""SRID=4326;POINT(10.960622 44.836716)""",MO13,MO,12,2022-03-21,2022-10-24
836,"""SRID=4326;POINT(10.7614516 44.7694733)""",MO32,RE,12,2022-03-21,2022-10-24
866,"""SRID=4326;POINT(12.2946508 44.1148957)""",FC05,FC,12,2022-03-21,2022-10-24
756,"""SRID=4326;POINT(11.32560833 44.76657222)""",FE41,FE,12,2022-03-21,2022-10-24
757,"""SRID=4326;POINT(11.30200556 44.77083333)""",FE42,FE,12,2022-03-21,2022-10-24
668,"""SRID=4326;POINT(12.039146 44.431495)""",RA14,RA,12,2022-03-21,2022-10-24
807,"""SRID=4326;POINT(11.115072 44.755466)""",MO03,MO,12,2022-03-21,2022-10-24
818,"""SRID=4326;POINT(10.956756 44.720953)""",MO14,MO,12,2022-03-21,2022-10-24
880,"""SRID=4326;POINT(12.1390685 44.2121207)""",FC19,FC,12,2022-03-21,2022-10-24
822,"""SRID=4326;POINT(10.895965 44.577205)""",MO18,MO,12,2022-03-21,2022-10-24
888,"""SRID=4326;POINT(11.9677578 44.2649718)""",RA55,RA,12,2022-03-21,2022-10-24
771,"""SRID=4326;POINT(11.421705 44.725685)""",BO03,BO,12,2022-03-21,2022-10-24
826,"""SRID=4326;POINT(10.990222 44.775181)""",MO22,MO,12,2022-03-21,2022-10-24
700,"""SRID=4326;POINT(11.9666668 44.386703)""",RA59,RA,12,2022-03-21,2022-10-24
696,"""SRID=4326;POINT(11.821125 44.538236)""",RA60,RA,12,2022-03-21,2022-10-24
775,"""SRID=4326;POINT(11.75529 44.336518)""",BO07,BO,12,2022-03-21,2022-10-24
658,"""SRID=4326;POINT(11.8739653006307 44.4908896973773)""",RA04,RA,12,2022-03-21,2022-10-24
780,"""SRID=4326;POINT(11.409847 44.759425)""",BO12,BO,12,2022-03-21,2022-10-24
684,"""SRID=4326;POINT(11.807204 44.33805)""",RA30,RA,12,2022-03-21,2022-10-24
683,"""SRID=4326;POINT(12.0221849 44.333191)""",RA29,RA,12,2022-03-21,2022-10-24
863,"""SRID=4326;POINT(12.0425006 44.2777707)""",FC02,FC,12,2022-03-21,2022-10-24
448,"""SRID=4326;POINT(11.9072736929356 44.3023801553365)""",RA01,RA,9,2021-02-22,2021-10-25
