water_course_id,praenomen,usage,culverted
135,SIFONE,Irrigation,Uncovered
136,DIRAMAZIONE,Irrigation,Uncovered
137,Canale,Irrigation,Uncovered
138,TORRENTE,Draining,Uncovered
139,FOSSA,Mixed (mainly irrigation),Uncovered
140,SCARICO,Draining,Uncovered
141,SCARICATORE,Draining,Covered
142,CONDOTTA,Mixed (mainly draining),Uncovered
143,FOSSATONCELLO,Draining,Uncovered
144,CANALETTO,Irrigation,Uncovered
145,TRAVERSANTE,Draining,Uncovered
146,CANAL,Mixed (mainly irrigation),Uncovered
147,CAVETTINO,Mixed (mainly draining),Uncovered
148,SCOLMATORE,Mixed (mainly draining),Uncovered
149,DIRAMAZIONE,Draining,Covered
150,CAVETTO,Draining,Uncovered
151,DUGARA,Draining,Uncovered
152,TORRENTE,Draining,Covered
153,FOSSA,Mixed (mainly irrigation),Covered
154,SCARICO,Draining,Covered
155,DIRAMATORE,Mixed (mainly draining),Uncovered
156,Canale,Irrigation,Covered
157,EMISSARIO,Mixed (mainly draining),Uncovered
158,TRE FOSSI,Mixed (mainly draining),Uncovered
159,DIRAMAZIONE,Irrigation,Covered
160,COLLEGAMENTO,Mixed (mainly irrigation),Covered
161,CANALETTO,Draining,Uncovered
162,SCOLETTO,Mixed (mainly draining),Uncovered
163,SCARICO,Irrigation,Uncovered
164,COLLETTORE,Draining,Uncovered
165,CONDOTTO,Mixed (mainly irrigation),Uncovered
166,CAVETTINO,Mixed (mainly draining),Covered
167,SCOLMATORE,Mixed (mainly draining),Covered
168,DIRAMAZIONE,Draining,Uncovered
169,CANALAZZO,Mixed (mainly draining),Uncovered
170,SCARICATORE,Draining,Uncovered
171,FOSSATONCELLO,Draining,Covered
172,ADDUTTORE,Irrigation,Uncovered
173,FOSSA,Mixed (mainly draining),Uncovered
174,DIRAMATORE,Mixed (mainly irrigation),Covered
175,COLLEGAMENTO,Mixed (mainly draining),Uncovered
176,SFIORATORE,Mixed (mainly draining),Uncovered
177,IRRIGATORIO,Irrigation,Covered
178,TERZIARIO,Draining,Covered
179,ALLACCIANTE,Draining,Uncovered
180,FOSSETTA,Draining,Uncovered
181,DUGAROLO,Mixed (mainly draining),Uncovered
182,CANAL,Mixed (mainly draining),Uncovered
183,RAMO NORD,Mixed (mainly draining),Uncovered
184,Condotta,,
185,CANALETTA,Mixed (mainly draining),Covered
186,SCOLO,Draining,Covered
187,FOSSO,Draining,Uncovered
188,IRRIGATORE,Mixed (mainly irrigation),Covered
